lat,lng,Official Name State,Official Name Suburb
-37.95248932320949, 145.26704127737207,Victoria,Lysterfield South
-37.42850941314063, 144.55585381382346,Victoria,Macedon
-37.205625968684146, 146.14673572059323,Victoria,Macs Cove
-38.400295896883755, 144.9666130387005,Victoria,Main Ridge
-37.69236598858869, 148.79951140677696,Victoria,Manorina
-36.71155383819474, 142.779432259401,Victoria,Marnoo West
-36.97801197442732, 145.70962361191076,Victoria,Merton
-36.98664076045562, 143.30319785453085,Victoria,Moonambel
-36.734116123272756, 146.05627548734356,Victoria,Moorngag
-36.07792260945732, 142.90476467812792,Victoria,Morton Plains
-37.787687872126185, 144.6247228637375,Victoria,Mount Cottrell
-38.38081771494317, 145.97283748400253,Victoria,Mount Eccles
-36.91415672454031, 143.65834349690758,Victoria,Mount Hooghly
-35.53649964924221, 142.75566449730033,Victoria,Myall (Buloke - Vic.)
-36.7029314216711, 141.04620098763525,Victoria,Neuarpurr
-37.926395856055095, 147.687869622104,Victoria,Newlands Arm
-37.75232039185068, 148.45139369016738,Victoria,Newmerella
-37.59162375211775, 144.84012567887834,Victoria,Oaklands Junction
-37.99787469393181, 147.6876175117064,Victoria,Ocean Grange
-36.32056007020796, 146.90915540144027,Victoria,Osbornes Flat
-37.78666746655697, 144.95122655318676,Victoria,Parkville (Vic.)
-37.28824240967997, 141.6823582130303,Victoria,Pigeon Ponds
-36.209369043000095, 144.40043278319973,Victoria,Pine Grove (Vic.)
-38.26729560412501, 144.6429236157513,Victoria,Queenscliff (Vic.)
-36.44497500680612, 142.9077600026564,Victoria,Rich Avon
-36.50478406321158, 142.81485492134348,Victoria,Rich Avon West
-38.66099893190136, 146.7351992005589,Victoria,Robertsons Beach
-38.00425090126537, 144.18170961142548,Victoria,Russells Bridge
-38.13954604867074, 145.46265263440387,Victoria,Rythdale
-36.42486931120817, 143.98280466274716,Victoria,Serpentine (Vic.)
-37.88853635731981, 145.3594053322069,Victoria,Sherbrooke
-37.85804001289622, 144.971296353354,Victoria,St Kilda West
-37.73971840507592, 141.71892781858568,Victoria,Tahara
-36.231326793435386, 145.44006219769022,Victoria,Tallygaroopna
-36.392019100906246, 146.1676609051478,Victoria,Taminick
-36.52631884914112, 145.5784263586861,Victoria,Tamleugh North
-38.10321195110619, 146.26783169869523,Victoria,Tanjil South
-36.38296972291777, 146.47548627080826,Victoria,Tarrawingee
-36.684623762465314, 147.199880723682,Victoria,Tawonga
-37.2078915356208, 145.88016706104187,Victoria,Taylor Bay
-37.89187763670889, 145.40219854917353,Victoria,The Patch
-38.48917902357842, 142.9759847775949,Victoria,Timboon
-37.924766812125185, 146.8308546668596,Victoria,Tinamba West
-36.72084053618081, 144.67412964898486,Victoria,Toolleen
-37.61644056052311, 147.05344418465614,Victoria,Toolome
-38.31532312089996, 142.23777943299308,Victoria,Toolong
-37.780643544005216, 144.9353814038623,Victoria,Travancore
-35.2123365037734, 143.39854010188932,Victoria,Vinifera
-38.14184116994581, 146.22127168960114,Victoria,Westbury (Vic.)
-36.650339336615914, 144.26871026748492,Victoria,Whipstick
-38.177096906212945, 144.39206008447619,Victoria,Whittington
-37.01821831529867, 141.5858871819696,Victoria,Wombelano
-36.88549673976173, 142.19015742508603,Victoria,Wonwondah
-36.7649244466174, 144.00461965364747,Victoria,Woodstock On Loddon
-36.28941153001977, 146.74278790494085,Victoria,Wooragee
-36.26686639730576, 143.61752403060197,Victoria,Wychitella
-36.24001941374355, 145.09075756691914,Victoria,Wyuna East
-36.14715927654543, 145.7719881642828,Victoria,Youarang
-24.303339548414222, 149.76715536557464,Queensland,Alberta
-27.91383064339448, 152.91512584712453,Queensland,Allenview
-24.872744089472096, 152.39615316145978,Queensland,Ashfield (Qld)
-19.03986418153409, 146.41092076576405,Queensland,Balgal Beach
-16.63905862347772, 144.26338411890583,Queensland,Bellevue (Qld)
-28.051362674991623, 152.0659363067737,Queensland,Berat
-25.057341258994263, 151.68474559419997,Queensland,Boolboonda
-23.934745311914515, 151.32359720390147,Queensland,Boyne Island
-24.23146291819292, 151.29057139885853,Queensland,Boynedale
-26.53743370003965, 152.94201510263727,Queensland,Bridges
-27.390347243821335, 153.1121714891094,Queensland,Brisbane Airport
-24.872341445256616, 152.33788497772053,Queensland,Bundaberg West
-25.004858475144623, 150.3721454383105,Queensland,Camboon (Qld)
-18.275313088296492, 146.0075770593235,Queensland,Cardwell
-27.34624411471865, 153.01592827803617,Queensland,Carseldine
-26.452462758646323, 152.77195352420844,Queensland,Carters Ridge
-26.21044900421683, 152.7887577498119,Queensland,Cedar Pocket
-22.71759681606241, 149.30864446350205,Queensland,Clarke Creek
-19.116986697576355, 146.43574511021438,Queensland,Clemant
-27.971755804736496, 151.2279912488288,Queensland,Clontarf (Toowoomba - Qld)
-17.500709422204533, 146.06430184723945,Queensland,Coconuts
-17.563807322165424, 146.03688401021788,Queensland,Comoon Loop
-21.132587260454745, 149.18888122126518,Queensland,Cremorne (Qld)
-26.88703957385063, 150.49860631801505,Queensland,Crossroads
-28.154130549074885, 153.46278255583272,Queensland,Currumbin Waters
-25.48025881156663, 151.88022329279815,Queensland,Didcot
-17.92174752728767, 145.81868281396632,Queensland,Dingo Pocket
-25.600848722138238, 151.53607206169423,Queensland,Dirnbir
-27.17979083455329, 151.9110467939212,Queensland,Djuan
-26.633035957188174, 149.9243723039953,Queensland,Drillham
-27.49698447792004, 153.4074766010421,Queensland,Dunwich
-14.98265658894703, 142.44074200441372,Queensland,Edward River
-25.368108886657957, 151.05018107474348,Queensland,Eidsvold
-27.1434535727316, 152.21411623841178,Queensland,Eskdale (Qld)
-21.124015652846108, 148.4819777736344,Queensland,Eungella (Qld)
-17.514061831230297, 145.49390184532703,Queensland,Evelyn
-27.72496204413825, 152.10571289123146,Queensland,Fordsdale
-27.938932321970242, 152.52822292452043,Queensland,Frazerview
-23.845067068069465, 149.9089670385375,Queensland,Gainsford
-26.61699876712028, 152.01509566745318,Queensland,Glan Devon
-28.908986918517975, 151.4470379152634,Queensland,Glenlyon (Qld)
-27.996551243333045, 152.2106987530245,Queensland,Goomburra
-20.482539654111005, 148.65146263410847,Queensland,Goorganga Plains
-27.34121159869758, 151.96082296746997,Queensland,Groomsville
-9.901188913764154, 142.7752078305729,Queensland,Iama Island
-26.6026524490993, 152.93488896702254,Queensland,Image Flat
-24.844234837166866, 152.3853363701478,Queensland,Kalkie
-26.398821794647812, 152.6250428300345,Queensland,Kandanga Creek
-27.516092495255755, 152.93794248755773,Queensland,Kenmore
-24.87546235548976, 152.37592688688318,Queensland,Kepnock
-26.2151401605989, 151.73821557605044,Queensland,Keysland
-27.170166293561735, 152.82078775925262,Queensland,King Scrub
-25.025527030142452, 152.44840440532954,Queensland,Kinkuna
-27.2242230954618, 153.08337644575354,Queensland,Kippa-Ring
-17.755493890508685, 146.0841709936001,Queensland,Kurrimine Beach
-20.623682730402003, 148.66696037090801,Queensland,Laguna Quays
-17.249483323851994, 145.64951538727675,Queensland,Lake Barrine
-26.806832295935443, 152.990804264584,Queensland,Landsborough (Qld)
-27.61234430801807, 151.66539476972324,Queensland,Linthorpe
-28.05106013017437, 153.23780062054593,Queensland,Lower Beechmont
-24.61364404216011, 151.70718656755722,Queensland,Lowmead
-27.53537948851558, 153.1042194493754,Queensland,Mansfield (Qld)
-22.979742918605748, 150.61818442738948,Queensland,Maryvale (Livingstone - Qld)
-27.027119060963713, 153.06972262183655,Queensland,Meldale
-17.895484733152685, 145.9600026024596,Queensland,Midgenoo
-27.548446124264014, 152.54674723278924,Queensland,Minden
-23.197216390459996, 150.0681244075517,Queensland,Morinish
-26.796289579800042, 148.5034093007111,Queensland,Mount Abundance
-26.816512629480922, 152.9324906758463,Queensland,Mount Mellum
-16.273827580015695, 143.99085268291563,Queensland,Mount Mulgrave
-27.458174414054067, 152.48073418809852,Queensland,Mount Tarampa
-27.731058555416837, 153.20536396692282,Queensland,Mount Warren Park
-27.724079498659755, 152.37221040277095,Queensland,Mulgowie
-26.23801847664038, 151.94571788445376,Queensland,Murgon
-18.129172031562838, 145.80590755043377,Queensland,Murray Upper
-26.84985482899592, 151.865491666851,Queensland,Neumgna
-27.555991723537737, 151.93257922882725,Queensland,Newtown (Toowoomba - Qld)
-25.32467426466975, 152.81999753389255,Queensland,Nikenbah
-28.178356376932406, 149.5279567299326,Queensland,North Bungunya
-25.17698496242621, 152.26431847163994,Queensland,North Isis
-27.57950798159327, 152.7894591915403,Queensland,North Tivoli
-19.24885609742253, 146.80830232221476,Queensland,North Ward
-27.369119070880586, 153.0915081795804,Queensland,Nudgee
-28.42700297888701, 151.3382775722638,Queensland,Oman Ama
-19.292591028931465, 146.8160723577807,Queensland,Oonoonba
-23.098446008288295, 150.73557152802445,Queensland,Pacific Heights
-27.94011976346409, 153.31436135582015,Queensland,Pacific Pines
-16.922932001913203, 145.7639539259888,Queensland,Parramatta Park
-27.536011384142927, 152.71692942563857,Queensland,Pine Mountain (Qld)
-25.665379859307166, 152.5677995123101,Queensland,Pioneers Rest
-25.902961590221324, 153.07547762953453,Queensland,Rainbow Beach
-26.64399222692253, 150.64500876773585,Queensland,Red Hill (Western Downs - Qld)
-28.112462942140322, 153.39636871942537,Queensland,Reedy Creek (Qld)
-27.919314528996622, 152.70762191803206,Queensland,Roadvale
